t	sumScr	maxInnSc	maxScr
0	464.3	1.7	4.9
1	644.0	1.7	5.0
2	803.2	1.7	5.5
3	912.4	1.7	5.8
4	1036.6	1.7	5.8
5	1164.5	1.7	6.2
6	1250.3	1.7	6.1
7	1310.9	1.7	6.1
8	1368.4	1.7	6.2
9	1429.0	1.8	6.3
10	1478.2	1.7	6.3
11	1512.8	1.7	6.4
12	1536.7	1.7	6.4
13	1565.7	1.8	6.5
14	1576.7	1.8	6.2
15	1577.8	1.8	6.3
16	1586.4	1.8	6.1
17	1602.9	1.9	6.2
18	1610.8	1.9	6.2
19	1606.7	1.7	6.4
20	1630.6	1.5	6.0
21	1626.8	1.7	6.4
22	1652.4	1.7	6.4
23	1635.0	1.7	6.4
24	1669.6	1.7	6.5
25	1651.3	1.9	6.6
26	1665.1	1.6	6.4
27	1688.5	1.6	6.7
28	1690.7	1.6	6.6
29	1693.4	1.6	6.6
30	1717.3	1.9	6.6
31	1734.9	1.9	6.6
32	1729.4	2.0	6.7
33	1753.8	2.0	6.5
34	1762.1	2.0	6.4
35	1779.3	1.7	6.8
36	1787.4	1.9	6.6
37	1790.6	1.9	6.5
38	1810.7	2.1	6.8
39	1823.9	2.3	6.7
40	1834.7	2.4	6.7
41	1847.3	2.5	6.7
42	1853.3	2.4	7.0
43	1878.9	2.2	6.8
44	1876.9	2.2	6.6
45	1883.9	2.2	6.7
46	1907.6	2.2	6.8
47	1907.0	2.3	6.8
48	1928.5	2.3	6.8
49	1926.9	2.3	7.1
50	1941.6	2.3	6.9
51	1951.1	2.4	6.8
52	1958.6	2.5	6.6
53	1962.6	2.5	6.6
54	1965.6	2.5	6.9
55	1991.1	2.8	6.8
56	1997.0	2.9	6.7
57	2008.0	3.0	6.6
58	1995.4	3.0	6.7
59	2012.3	2.7	6.7
60	2007.3	2.7	6.9
61	2007.7	2.7	6.7
62	2022.4	2.7	6.6
63	2028.0	2.7	7.0
64	2052.2	2.7	6.6
65	2042.4	2.8	6.8
66	2055.8	2.7	6.8
67	2055.3	2.7	6.8
68	2053.0	2.7	7.1
69	2062.4	3.0	6.9
70	2071.0	2.8	6.6
71	2079.4	3.1	7.1
72	2082.4	3.3	6.9
73	2099.7	3.3	6.8
74	2095.5	3.4	6.9
75	2106.7	3.3	6.9
76	2108.3	3.5	6.6
77	2112.1	3.5	6.9
78	2145.5	3.5	7.0
79	2155.3	3.5	7.0
